algorithm_1,algorithm_2,metric,statistic,p_value_raw,p_value_holm,significant
KMeans,Hierarchical,ARI,16.0,0.779434528427275,0.779434528427275,No
KMeans,DBSCAN,ARI,53.0,0.00970073956473019,0.05820443738838114,No
KMeans,Custom (Mean Shift),ARI,122.0,0.2758104014698106,0.7548198223099987,No
Hierarchical,DBSCAN,ARI,55.0,0.01157861954104067,0.05820443738838114,No
Hierarchical,Custom (Mean Shift),ARI,106.0,0.2086786884875126,0.7548198223099987,No
DBSCAN,Custom (Mean Shift),ARI,104.0,0.18870495557749967,0.7548198223099987,No
KMeans,Hierarchical,NMI,30.0,0.4798388320174136,0.4798388320174136,No
KMeans,DBSCAN,NMI,58.0,0.014925504120262776,0.08955302472157665,No
KMeans,Custom (Mean Shift),NMI,92.0,0.057824886865277286,0.23129954746110915,No
Hierarchical,DBSCAN,NMI,60.0,0.017661433822361922,0.08955302472157665,No
Hierarchical,Custom (Mean Shift),NMI,94.0,0.06529881362243503,0.23129954746110915,No
DBSCAN,Custom (Mean Shift),NMI,97.0,0.12993380322370868,0.25986760644741735,No
KMeans,Hierarchical,Silhouette,,1.0,1.0,No
KMeans,DBSCAN,Silhouette,0.0,1.0,1.0,No
KMeans,Custom (Mean Shift),Silhouette,0.0,1.0,1.0,No
Hierarchical,DBSCAN,Silhouette,0.0,1.0,1.0,No
Hierarchical,Custom (Mean Shift),Silhouette,0.0,1.0,1.0,No
DBSCAN,Custom (Mean Shift),Silhouette,0.0,1.0,1.0,No
